"","sa","sb","n","a1","a2","a3","a4","a5","b1","b2","dsa","dsb","Freq"
"788",90,13,16143,4,6,22,27,31,6,7,17,-5,2
"553",75,15,16144,4,5,13,22,31,5,10,-15,2,1
"456",66,11,16145,1,9,11,17,28,3,8,-9,-4,1
"279",131,12,16146,21,22,25,29,34,1,11,65,1,1
"75",104,16,16147,7,19,20,28,30,4,12,-27,4,1
"647",82,14,16148,5,14,15,23,25,6,8,-22,-2,1
"342",51,13,16149,1,2,3,12,33,4,9,-31,-1,2
"651",82,17,16150,1,10,18,24,29,7,10,31,4,2
"380",57,17,16151,4,7,11,14,21,5,12,-25,0,2
"28",101,16,16152,8,17,22,24,30,5,11,44,-1,1
"233",120,14,16153,13,18,25,29,35,3,11,19,-2,1
"776",89,10,16154,6,16,17,21,29,4,6,-31,-4,2
"15",100,18,17001,7,9,20,31,33,8,10,11,8,2
"943",98,20,17002,7,12,14,31,34,9,11,-2,2,2
"338",49,21,17003,3,5,6,13,22,9,12,-49,1,2
"665",83,13,17004,5,8,11,28,31,6,7,34,-8,2
"873",95,13,17005,5,9,20,26,35,2,11,12,0,5
"872",95,13,17006,5,9,20,26,35,2,11,0,0,5
"772",88,6,17007,8,11,17,25,27,2,4,-7,-7,1
"534",73,6,17008,3,4,9,25,32,2,4,-15,0,2
"361",53,7,17009,5,6,8,12,22,3,4,-20,1,1
"627",80,3,17010,4,10,13,18,35,1,2,27,-4,1
"74",104,15,17011,5,15,21,29,34,6,9,24,12,2
"860",94,19,17012,4,5,24,26,35,7,12,-10,4,2
"944",98,23,17013,5,12,17,30,34,11,12,4,4,1
"571",76,7,17014,4,8,15,24,25,2,5,-22,-16,1
"769",88,3,17015,1,7,19,27,34,1,2,12,-4,1
"112",107,19,17016,3,13,28,30,33,9,10,19,16,1
"45",102,10,17017,4,19,24,26,29,4,6,-5,-9,1
"425",63,10,17018,6,7,10,17,23,1,9,-39,0,1
"495",70,12,17019,2,6,14,23,25,2,10,7,2,2
"197",116,11,17020,16,21,24,27,28,4,7,46,-1,1
"609",79,14,17021,1,15,17,20,26,6,8,-37,3,1
"368",55,18,17022,2,3,9,17,24,6,12,-24,4,1
"672",83,17,17023,5,8,12,24,34,7,10,28,-1,1
"299",140,23,17024,21,23,29,32,35,11,12,57,6,1
"963",99,9,17025,10,16,19,20,34,4,5,-41,-14,1
"23",100,9,17026,10,14,19,25,32,2,7,1,0,2
"208",117,14,17027,8,17,25,33,34,3,11,17,5,2
"52",102,20,17028,6,18,22,23,33,9,11,-15,6,1
"467",67,12,17029,1,6,14,17,29,1,11,-35,-8,4
"273",130,11,17030,21,22,24,29,34,5,6,63,-1,1
"911",97,11,17031,2,16,17,30,32,2,9,-33,0,3
"563",76,12,17032,2,13,14,18,29,3,9,-21,1,1
"226",119,16,17033,15,22,23,25,34,5,11,43,4,1
"850",94,13,17034,6,12,21,26,29,2,11,-25,-3,3
"203",116,19,17035,14,17,22,30,33,7,12,22,6,1
"454",65,7,17036,1,4,9,18,33,2,5,-51,-12,1
"146",110,17,17037,13,15,16,32,34,6,11,45,10,2
"469",67,12,17038,4,5,13,18,27,3,9,-43,-5,4
"477",68,11,17039,5,6,14,17,26,3,8,1,-1,2
"520",72,20,17040,4,6,10,23,29,9,11,4,9,1
"479",68,14,17041,2,4,6,25,31,5,9,-4,-6,1
"215",117,8,17042,2,17,31,33,34,1,7,49,-6,1
"37",101,21,17043,6,13,22,25,35,9,12,-16,13,1
"740",87,11,17044,11,16,17,18,25,2,9,-14,-10,2
"568",76,21,17045,1,8,11,21,35,9,12,-11,10,1
"865",94,5,17046,4,17,20,23,30,2,3,18,-16,2
"287",133,21,17047,15,19,32,33,34,9,12,39,16,1
"431",63,13,17048,7,9,13,15,19,3,10,-70,-8,3
"759",88,13,17049,9,12,14,22,31,5,8,25,0,4
"818",91,8,17050,12,14,17,20,28,2,6,3,-5,1
"18",100,21,17051,14,17,18,22,29,10,11,9,13,1
"109",107,16,17052,3,19,24,28,33,4,12,7,-5,1
"839",93,12,17053,6,19,20,22,26,1,11,-14,-4,1
"300",140,9,17054,16,29,30,32,33,4,5,47,-3,1
"249",124,12,17055,19,20,22,30,33,3,9,-16,3,1
"760",88,13,17056,1,4,24,27,32,3,10,-36,1,4
"868",94,7,17057,12,16,19,23,24,2,5,6,-6,4
"43",101,9,17058,14,18,20,21,28,3,6,7,2,2
"440",64,13,17059,8,11,13,15,17,3,10,-37,4,1
"29",101,17,17060,9,15,20,26,31,5,12,37,4,3
"115",107,6,17061,10,19,23,25,30,2,4,6,-11,2
"331",47,20,17062,1,4,6,8,28,8,12,-60,14,1
"185",114,16,17063,18,21,22,24,29,5,11,67,-4,1
"737",86,7,17064,1,8,20,27,30,3,4,-28,-9,2
"554",75,17,17065,5,11,12,19,28,5,12,-11,10,1
"83",105,13,17066,11,15,23,26,30,2,11,30,-4,1
"167",112,21,17067,10,17,18,32,35,10,11,7,8,1
"710",85,13,17068,7,8,19,24,27,6,7,-27,-8,4
"35",101,19,17069,10,16,20,23,32,8,11,16,6,3
"902",96,5,17070,6,16,18,26,30,2,3,-5,-14,1
"427",63,12,17071,1,4,11,14,33,5,7,-33,7,2
"961",99,7,17072,1,3,29,32,34,2,5,36,-5,1
"214",117,3,17073,7,18,28,31,33,1,2,18,-4,1
"394",59,19,17074,8,10,11,13,17,8,11,-58,16,2
"725",85,7,17075,5,11,16,18,35,1,6,26,-12,4
"955",99,19,17076,2,7,25,30,35,7,12,14,12,2
"442",64,15,17077,1,3,4,25,31,6,9,-35,-4,1
"44",101,9,17078,4,5,27,31,34,3,6,37,-6,2
"47",102,13,17079,1,17,19,32,33,2,11,1,4,1
"21",100,7,17080,8,10,21,30,31,2,5,-2,-6,2
"678",83,7,17081,2,12,15,20,34,1,6,-17,0,2
"692",84,17,17082,5,13,20,21,25,8,9,1,10,1
"577",77,12,17083,2,5,14,22,34,3,9,-7,-5,2
"675",83,21,17084,6,11,14,21,31,9,12,6,9,2
"817",91,7,17085,9,13,14,25,30,2,5,8,-14,1
"947",98,9,17086,12,15,18,22,31,1,8,7,2,2
"55",102,8,17087,3,14,21,29,35,2,6,4,-1,1
"286",133,17,17088,5,28,31,34,35,8,9,31,9,1
"328",47,13,17089,3,5,6,15,18,3,10,-86,-4,1
"644",81,20,17090,3,6,15,22,35,9,11,34,7,1
"333",48,15,17091,1,5,7,16,19,3,12,-33,-5,2
"500",70,9,17092,3,7,9,17,34,4,5,22,-6,1
"603",78,6,17093,5,6,17,21,29,2,4,8,-3,1
"590",78,12,17094,3,5,8,29,33,4,8,0,6,3
"305",149,15,17095,15,32,33,34,35,3,12,71,3,1
"443",64,16,17096,3,7,9,17,28,4,12,-85,1,2
"898",96,19,17097,7,14,19,22,34,7,12,32,3,2
"924",97,21,17098,6,9,17,30,35,10,11,1,2,1
"562",76,10,17099,8,9,17,18,24,3,7,-21,-11,2
"550",75,10,17100,2,5,18,19,31,1,9,-1,0,3
"875",95,13,17101,5,15,21,25,29,5,8,20,3,5
"785",89,20,17102,1,12,23,24,29,8,12,-6,7,2
"905",96,7,17103,4,19,20,24,29,3,4,7,-13,4
"957",99,20,17104,9,11,22,27,30,9,11,3,13,1
"913",97,11,17105,4,15,22,24,32,2,9,-2,-9,3
"816",91,6,17106,9,12,18,23,29,2,4,-6,-5,1
"717",85,18,17107,4,10,19,25,27,6,12,-6,12,1
"429",63,13,17108,1,4,15,21,22,4,9,-22,-5,3
"846",94,12,17109,6,9,19,26,34,5,7,31,-1,2
"20",100,7,17110,10,14,20,21,35,2,5,6,-5,2
"842",93,20,17111,2,14,17,26,34,8,12,-7,13,1
"858",94,18,17112,5,6,20,31,32,6,12,1,-2,2
"505",71,16,17113,5,8,17,18,23,4,12,-23,-2,1
"460",66,13,17114,6,7,12,18,23,1,12,-5,-3,1
"131",109,14,17115,14,19,20,25,31,6,8,43,1,1
"254",124,4,17116,2,27,30,32,33,1,3,15,-10,1
"581",77,18,17117,5,7,9,24,32,8,10,-47,14,1
"593",78,14,17118,2,7,16,20,33,3,11,1,-4,2
"777",89,11,17119,5,7,13,29,35,3,8,11,-3,1
"3",100,11,17120,8,15,24,26,27,5,6,11,0,2
"572",76,8,17121,1,6,12,26,31,1,7,-24,-3,2
"892",96,14,17122,3,12,18,29,34,3,11,20,6,2
"952",99,13,17123,3,15,23,26,32,1,12,3,-1,1
"271",129,11,17124,3,29,30,32,35,3,8,30,-2,1
"799",90,9,17125,7,11,18,26,28,4,5,-39,-2,2
"576",77,12,17126,3,4,13,24,33,1,11,-13,3,2
"592",78,13,17127,2,15,18,21,22,3,10,1,1,1
"696",84,5,17128,9,11,13,18,33,2,3,6,-8,2
"107",107,13,17129,5,17,20,32,33,4,9,23,8,2
"221",118,7,17130,5,18,28,33,34,3,4,11,-6,2
"488",69,13,17131,3,5,8,19,34,1,12,-49,6,1
"69",104,11,17132,11,17,23,26,27,1,10,35,-2,2
"204",116,4,17133,15,17,19,32,33,1,3,12,-7,1
"142",110,12,17134,7,18,19,32,34,2,10,-6,8,1
"492",69,6,17135,1,12,15,19,22,2,4,-41,-6,1
"559",75,7,17136,1,11,20,21,22,3,4,6,1,1
"4",100,12,17137,1,20,22,28,29,5,7,25,5,2
"448",65,13,17138,4,7,9,20,25,2,11,-35,1,3
"694",84,21,17139,2,6,19,25,32,9,12,19,8,2
"101",106,6,17140,10,16,25,26,29,1,5,22,-15,1
"658",82,8,17141,2,8,21,22,29,3,5,-24,2,4
"487",69,12,17142,1,5,16,19,28,2,10,-13,4,1
"22",100,9,17143,6,9,24,29,32,2,7,31,-3,2
"124",108,21,17144,3,21,23,29,32,10,11,8,12,1
"450",65,13,17145,4,7,17,18,19,3,10,-43,-8,3
"463",66,19,17146,1,5,11,14,35,9,10,1,6,1
"915",97,12,17147,5,16,17,25,34,1,11,31,-7,2
"303",144,23,17148,19,27,31,32,35,11,12,47,11,1
"940",98,16,17149,10,18,19,25,26,4,12,-46,-7,1
"340",50,20,17150,3,6,10,13,18,9,11,-48,4,1
"870",94,9,17151,5,6,23,28,32,4,5,44,-11,1
"437",64,10,17152,2,4,7,23,28,2,8,-30,1,1
"862",94,21,17153,1,9,24,26,34,9,12,30,11,2
"906",96,7,18001,1,13,22,25,35,3,4,2,-14,4
"205",116,7,18002,12,20,23,27,34,1,6,20,0,1
"51",102,19,18003,4,21,23,24,30,9,10,-14,12,2
"836",93,11,18004,4,9,22,28,30,1,10,-9,-8,3
"794",90,19,18005,4,9,23,24,30,8,11,-3,8,2
"291",134,8,18006,19,20,30,32,33,3,5,44,-11,1
"10",100,15,18007,3,4,28,31,34,4,11,-34,7,3
"676",83,21,18008,9,15,17,20,22,10,11,-17,6,2
"188",114,7,18009,10,12,28,30,34,3,4,31,-14,2
"284",132,16,18010,24,25,26,28,29,4,12,18,9,1
"621",80,11,18011,3,13,15,23,26,1,10,-52,-5,2
"166",112,18,18012,3,22,24,29,34,7,11,32,7,1
"281",131,17,18013,8,24,31,33,35,7,10,19,-1,1
"67",103,9,18014,14,16,18,24,31,1,8,-28,-8,2
"610",79,16,18015,4,13,15,18,29,5,11,-24,7,1
"344",51,21,18016,1,2,12,13,23,9,12,-28,5,2
"938",98,13,18017,4,19,21,23,31,4,9,47,-8,3
"613",79,18,18018,6,8,13,24,28,6,12,-19,5,1
"782",89,17,18019,10,11,19,21,28,5,12,10,-1,3
"397",59,21,18020,1,10,13,14,21,9,12,-30,4,1
"317",43,15,18021,5,6,8,9,15,4,11,-16,-6,1
"949",99,11,18022,2,10,19,33,35,5,6,56,-4,2
"835",93,10,18023,12,13,18,21,29,2,8,-6,-1,3
"70",104,11,18024,2,16,24,30,32,4,7,11,1,2
"527",73,15,18025,7,8,9,15,34,7,8,-31,4,2
"314",40,8,18026,1,2,3,4,30,3,5,-33,-7,1
"732",86,15,18027,1,18,20,21,26,4,11,46,7,2
"169",113,11,18028,4,19,25,30,35,4,7,27,-4,2
"753",87,9,18029,3,9,21,25,29,1,8,-26,-2,2
"76",104,20,18030,5,18,21,28,32,9,11,17,11,1
"444",64,16,18031,3,8,13,17,23,5,11,-40,-4,2
"31",101,17,18032,7,10,17,32,35,5,12,37,1,3
"634",81,13,18033,2,3,19,23,34,4,9,-20,-4,5
"1",100,10,18034,8,11,22,27,32,3,7,19,-3,1
"390",58,18,18035,5,7,10,12,24,7,11,-42,8,1
"853",94,15,18036,11,17,18,21,27,7,8,36,-3,2
"823",92,13,18037,1,3,27,30,31,2,11,-2,-2,3
"259",125,4,18038,14,23,25,31,32,1,3,33,-9,2
"693",84,21,18039,2,7,14,29,32,10,11,-41,17,2
"774",88,9,18040,5,7,18,27,31,1,8,4,-12,1
"174",113,13,18041,1,23,25,31,33,1,12,25,4,3
"155",111,14,18042,3,19,25,29,35,5,9,-2,1,1
"671",83,15,18043,3,6,13,28,33,4,11,-28,1,4
"341",51,13,18044,2,4,6,18,21,5,8,-32,-2,2
"825",92,14,18045,2,5,20,30,35,5,9,41,1,1
"176",113,15,18046,10,20,22,29,32,5,10,21,1,1
"365",55,12,18047,3,8,10,14,20,4,8,-58,-3,1
"416",61,9,18048,2,3,11,20,25,2,7,6,-3,1
"318",43,18,18049,4,7,9,10,13,6,12,-18,9,1
"301",141,18,18050,22,24,26,34,35,6,12,98,0,1
"224",119,14,18051,9,18,28,29,35,3,11,-22,-4,1
"680",83,9,18052,5,16,18,19,25,2,7,-36,-5,3
"893",96,14,18053,11,16,21,23,25,2,12,13,5,2
"645",81,8,18054,9,10,12,20,30,1,7,-15,-6,1
"921",97,19,18055,3,7,20,33,34,9,10,16,11,3
"687",84,12,18056,2,4,16,28,34,5,7,-13,-7,3
"129",109,11,18057,13,19,22,27,28,5,6,25,-1,1
"791",90,14,18058,9,11,12,26,32,4,10,-19,3,2
"652",82,17,18059,1,9,10,27,35,6,11,-8,3,2
"171",113,12,18060,4,22,27,29,31,2,10,31,-5,2
"719",85,19,18061,4,10,12,28,31,8,11,-28,7,3
"68",103,9,18062,12,14,19,23,35,2,7,18,-10,2
"6",100,13,18063,5,14,15,32,34,3,10,-3,4,2
"336",48,6,18064,1,3,4,11,29,2,4,-52,-7,1
"123",108,18,18065,7,10,28,31,32,8,10,60,12,1
"136",109,5,18066,1,20,23,32,33,1,4,1,-13,1
"506",71,17,18067,3,7,12,18,31,7,10,-38,12,1
"871",95,11,18068,8,12,16,26,33,5,6,24,-6,1
"471",67,13,18069,1,8,13,21,24,2,11,-28,2,2
"426",63,11,18070,2,5,10,16,30,4,7,-4,-2,1
"803",91,12,18071,2,5,23,30,31,3,9,28,1,4
"695",84,3,18072,5,12,17,24,26,1,2,-7,-9,1
"140",110,10,18073,13,19,24,25,29,2,8,26,7,1
"649",82,16,18074,3,9,12,28,30,4,12,-28,6,2
"529",73,16,18075,1,6,12,20,34,4,12,-9,0,1
"183",114,14,18076,7,18,28,29,32,6,8,41,-2,1
"381",57,17,18077,1,6,9,15,26,8,9,-57,3,2
"660",82,9,18078,7,11,12,22,30,3,6,25,-8,1
"533",73,6,18079,3,4,10,27,29,1,5,-9,-3,2
"77",104,21,18080,7,16,24,26,31,10,11,31,15,1
"632",81,13,18081,2,10,13,21,35,1,12,-23,-8,5
"348",52,18,18082,1,2,14,17,18,8,10,-29,5,1
"958",99,21,18083,7,12,25,27,28,10,11,47,3,1
"812",91,23,18084,6,11,17,22,35,11,12,-8,2,1
"523",73,12,18085,1,2,14,25,31,5,7,-18,-11,3
"245",122,9,18086,16,22,24,29,31,4,5,49,-3,1
"697",84,5,18087,3,14,19,23,25,1,4,-38,-4,2
"910",96,9,18088,8,9,21,25,33,1,8,12,4,3
"304",147,16,18089,26,27,28,32,34,6,10,51,7,1
"210",117,15,18090,6,20,24,33,34,4,11,-30,-1,2
"182",113,8,18091,6,22,26,28,31,1,7,-4,-7,1
"433",63,14,18092,5,7,14,18,19,4,10,-50,6,2
"637",81,14,18093,3,11,16,18,33,3,11,18,0,2
"202",116,18,18094,11,16,25,30,34,8,10,35,4,1
"63",103,17,18095,7,14,18,29,35,5,12,-13,-1,1
"133",109,16,18096,13,14,20,28,34,6,10,6,-1,2
"583",77,5,18097,10,12,14,18,23,1,4,-32,-11,1
"743",87,12,18098,2,15,18,25,27,5,7,10,7,2
"656",82,8,18099,12,13,16,20,21,1,7,-5,-4,4
"62",103,15,18100,6,20,21,26,30,6,9,21,7,1
"700",84,9,18101,3,14,15,23,29,4,5,-19,-6,1
"521",72,22,18102,6,7,13,22,24,10,12,-12,13,1
"269",127,5,18103,14,24,26,28,35,2,3,55,-17,1
"653",82,18,18104,1,13,14,26,28,7,11,-45,13,1
"752",87,9,18105,1,16,19,20,31,2,7,5,-9,2
"797",90,5,18106,4,14,17,24,31,1,4,3,-4,2
"377",56,7,18107,7,8,9,10,22,3,4,-34,2,1
"98",106,19,18108,9,10,24,31,32,7,12,50,12,2
"126",108,7,18109,10,16,23,25,34,2,5,2,-12,1
"26",101,14,18110,6,19,21,27,28,3,11,-7,7,1
"104",106,9,18111,3,16,27,28,32,4,5,5,-5,2
"373",56,13,18112,3,7,8,9,29,3,10,-50,4,1
"159",111,9,18113,8,12,27,31,33,4,5,55,-4,1
"170",113,11,18114,12,18,26,28,29,5,6,2,2,2
"446",64,3,18115,2,6,13,18,25,1,2,-49,-8,1
"734",86,17,18116,1,14,17,21,33,7,10,22,14,1
"646",82,11,18117,7,11,13,22,29,3,8,-4,-6,1
"595",78,15,18118,4,5,14,21,34,6,9,-4,4,2
"585",77,7,18119,6,9,11,16,35,2,5,-1,-8,1
"258",125,17,18120,21,22,25,27,30,8,9,48,10,1
"837",93,11,18121,6,7,21,29,30,1,10,-32,-6,3
"954",99,17,18122,8,9,21,30,31,5,12,6,6,2
"157",111,6,18123,6,9,29,32,35,2,4,12,-11,2
"491",69,21,18124,8,10,12,19,20,10,11,-42,15,1
"930",98,10,18125,7,16,20,21,34,4,6,29,-11,2
"741",87,11,18126,11,13,15,21,27,5,6,-11,1,2
"335",48,20,18127,1,3,4,11,29,8,12,-39,9,1
"611",79,17,18128,11,12,14,16,26,8,9,31,-3,2
"682",83,9,18129,4,7,21,22,29,3,6,4,-8,3
"458",66,12,18130,3,4,16,18,25,1,11,-17,3,3
"163",112,13,18131,12,14,21,32,33,2,11,46,1,2
"815",91,5,18132,3,16,22,23,27,1,4,-21,-8,1
"476",68,11,18133,8,12,14,15,19,1,10,-23,6,2
"852",94,14,18134,4,5,19,31,35,2,12,26,3,2
"212",117,18,18135,14,19,23,27,34,6,12,23,4,1
"461",66,16,18136,3,11,12,19,21,5,11,-51,-2,2
"882",95,19,18137,7,10,22,23,33,8,11,29,3,2
"138",109,9,18138,1,23,24,28,33,4,5,14,-10,3
"880",95,15,18139,5,11,16,28,35,6,9,-14,6,2
"316",42,7,18140,1,6,8,12,15,3,4,-53,-8,1
"822",92,13,18141,3,7,23,26,33,4,9,50,6,3
"290",134,21,18142,19,24,28,29,34,10,11,42,8,1
"736",86,3,18143,4,7,20,22,33,1,2,-48,-18,1
"897",96,18,18144,6,17,18,24,31,7,11,10,15,1
"235",120,17,18145,9,18,29,31,33,6,11,24,-1,1
"464",66,3,18146,3,8,9,13,33,1,2,-54,-14,1
"93",106,12,18147,1,11,26,33,35,2,10,40,9,1
"960",99,5,18148,2,6,24,33,34,2,3,-7,-7,1
"339",49,9,18149,1,7,10,11,20,3,6,-50,4,1
"884",95,22,18150,5,12,13,31,34,10,12,46,13,1
"775",89,10,18151,4,8,18,29,30,3,7,-6,-12,2
"343",51,19,18152,2,4,5,12,28,8,11,-38,9,1
"324",45,9,18153,3,6,7,8,21,1,8,-6,-10,1
"194",115,8,18154,14,22,23,26,30,3,5,70,-1,1
"27",101,15,19001,6,18,23,26,28,3,12,-14,7,1
"573",76,8,19002,2,7,14,22,31,1,7,-25,-7,2
"655",82,22,19003,4,8,18,20,32,10,12,6,14,2
"153",111,12,19004,15,16,17,31,32,3,9,29,-10,2
"152",111,12,19005,15,16,17,31,32,3,9,0,0,2
"80",105,12,19006,14,17,19,25,30,4,8,-6,0,4
"831",92,6,19007,3,12,16,29,32,1,5,-13,-6,2
"518",72,17,19008,3,8,17,20,24,6,11,-20,11,1
"507",71,18,19009,3,9,15,18,26,6,12,-1,1,3
"730",86,14,19010,3,7,24,25,27,2,12,15,-4,2
"418",62,13,19011,4,12,13,16,17,4,9,-24,-1,1
"482",68,17,19012,5,9,17,18,19,7,10,6,4,1
"484",68,9,19013,8,10,15,17,18,1,8,0,-8,1
"88",105,20,19014,12,14,20,28,31,9,11,37,11,1
"401",60,10,19015,2,5,10,13,30,4,6,-45,-10,2
"455",65,8,19016,3,5,13,16,28,2,6,5,-2,1
"409",60,7,19017,1,5,7,22,25,3,4,-5,-1,1
"16",100,18,19018,3,18,19,26,34,6,12,40,11,2
"813",91,3,19019,4,11,19,25,32,1,2,-9,-15,1
"733",86,15,19020,1,8,16,27,34,3,12,-5,12,2
"845",94,11,19021,7,13,17,24,33,1,10,8,-4,1
"370",55,6,19022,1,4,14,15,21,1,5,-39,-5,1
"541",74,17,19023,1,3,14,26,30,6,11,19,11,2
"134",109,17,19024,11,17,19,29,33,8,9,35,0,1
"661",83,10,19025,6,13,16,19,29,3,7,-26,-7,1
"532",73,5,19026,10,12,15,17,19,2,3,-10,-5,1
"150",110,9,19027,16,18,24,25,27,2,7,37,4,1
"222",118,9,19028,6,22,28,29,33,2,7,8,0,1
"558",75,5,19029,1,4,18,24,28,2,3,-43,-4,1
"570",76,6,19030,7,9,13,14,33,2,4,1,1,1
"819",91,9,19031,3,8,21,26,33,4,5,15,3,3
"357",53,15,19032,1,4,7,11,30,7,8,-38,6,1
"330",47,16,19033,1,2,4,16,24,7,9,-6,1,1
"829",92,3,19034,8,12,15,27,30,1,2,45,-13,1
"310",34,17,19035,1,3,5,7,18,8,9,-58,14,1
"805",91,13,19036,3,9,21,28,30,1,12,57,-4,2
"199",116,12,19037,6,16,26,33,35,4,8,25,-1,3
"582",77,19,19038,5,11,16,18,27,7,12,-39,7,1
"826",92,18,19039,1,12,18,26,35,6,12,15,-1,1
"38",101,4,19040,1,3,31,32,34,1,3,9,-14,1
"41",101,8,19041,12,19,20,22,28,2,6,0,4,3
"768",88,23,19042,4,10,13,28,33,11,12,-13,15,1
"315",42,18,19043,2,6,7,12,15,6,12,-46,-5,1
"423",62,3,19044,3,6,10,12,31,1,2,20,-15,1
"528",73,15,19045,1,4,16,19,33,3,12,11,12,2
"544",74,22,19046,2,8,14,15,35,10,12,1,7,1
"449",65,13,19047,3,4,10,16,32,4,9,-9,-9,3
"856",94,16,19048,6,10,16,29,33,5,11,29,3,2
"32",101,18,19049,10,16,22,26,27,7,11,7,2,2
"792",90,15,19050,4,15,16,20,35,3,12,-11,-3,1
"802",91,12,19051,11,15,16,20,29,4,8,1,-3,4
"530",73,18,19052,4,10,15,20,24,7,11,-18,6,2
"828",92,23,19053,1,11,19,26,35,11,12,19,5,1
"11",100,15,19054,2,18,23,27,30,5,10,8,-8,3
"362",53,8,19055,2,4,6,19,22,2,6,-47,-7,1
"356",53,14,19056,1,7,10,12,23,6,8,0,6,1
"110",107,18,19057,8,14,16,34,35,6,12,54,4,2
"519",72,18,19058,3,10,13,14,32,7,11,-35,0,1
"786",89,20,19059,7,8,15,27,32,8,12,17,2,2
"434",63,18,19060,1,11,12,18,21,8,10,-26,-2,1
"374",56,16,19061,1,2,13,14,26,5,11,-7,-2,1
"917",97,13,19062,5,16,23,25,28,1,12,41,-3,2
"468",67,12,19063,5,8,15,18,21,4,8,-30,-1,4
"569",76,23,19064,7,8,13,19,29,11,12,9,11,1
"501",71,14,19065,3,8,10,23,27,2,12,-5,-9,2
"539",74,13,19066,4,10,11,18,31,5,8,3,-1,2
"354",53,12,19067,3,8,11,15,16,2,10,-21,-1,2
"414",61,17,19068,4,5,8,17,27,6,11,8,5,1
"231",120,10,19069,8,22,23,33,34,4,6,59,-7,1
"731",86,14,19070,2,13,15,22,34,2,12,-34,4,2
"508",71,18,19071,7,13,14,15,22,7,11,-15,4,3
"312",39,17,19072,2,4,6,9,18,7,10,-32,-1,1
"601",78,19,19073,4,11,19,20,24,8,11,39,2,3
"591",78,12,19074,8,9,13,14,34,5,7,0,-7,3
"321",45,13,19075,5,6,7,11,16,2,11,-33,1,1
"494",70,12,19076,1,6,11,23,29,1,11,25,-1,2
"744",87,17,19077,1,15,17,21,33,7,10,17,5,2
"832",92,8,19078,5,10,21,26,30,1,7,5,-9,1
"57",102,9,19079,10,13,16,28,35,4,5,10,1,4
"618",79,9,19080,5,13,18,19,24,2,7,-23,0,2
"230",119,9,19081,6,24,26,30,33,2,7,40,0,1
"903",96,7,19082,6,18,20,21,31,3,4,-23,-2,4
"267",127,16,19083,17,24,26,28,32,7,9,31,9,2
"272",129,8,19084,12,23,25,34,35,1,7,2,-8,1
"376",56,19,19085,4,5,6,15,26,8,11,-73,11,1
"887",95,9,19086,5,15,16,28,31,2,7,39,-10,1
"555",75,19,19087,5,6,18,19,27,7,12,-20,10,1
"689",84,14,19088,1,5,18,27,33,6,8,9,-5,1
"121",108,15,19089,9,14,18,33,34,3,12,24,1,1
"247",123,14,19090,13,19,28,30,33,2,12,15,-1,1
"762",88,15,19091,1,13,20,26,28,3,12,-35,1,1
"722",85,7,19092,2,11,15,27,30,2,5,-3,-8,4
"248",123,8,19093,16,17,26,29,35,1,7,38,1,1
"625",80,16,19094,1,12,14,26,27,7,9,-43,8,1
"657",82,8,19095,3,12,17,19,31,2,6,2,-8,4
"739",86,8,19096,2,12,22,23,27,2,6,4,0,1
"168",112,22,19097,10,17,20,30,35,10,12,26,14,1
"738",86,7,19098,13,15,17,19,22,3,4,-26,-15,2
"763",88,16,19099,4,6,18,27,33,7,9,2,9,1
"451",65,17,19100,5,8,12,19,21,6,11,-23,1,1
"622",80,11,19101,5,11,18,19,27,5,6,15,-6,2
"629",80,9,19102,5,10,15,19,31,3,6,0,-2,1
"932",98,11,19103,5,12,22,27,32,4,7,18,2,3
"604",78,8,19104,2,7,19,22,28,3,5,-20,-3,2
"323",45,7,19105,1,4,9,14,17,1,6,-33,-1,1
"787",90,12,19106,5,8,10,32,35,2,10,45,5,1
"885",95,5,19107,5,9,19,27,35,2,3,5,-7,1
"302",144,12,19108,24,27,28,31,34,4,8,49,7,1
"421",62,23,19109,2,7,8,20,25,11,12,-82,11,2
"929",97,9,19110,1,19,23,24,30,4,5,35,-14,1
"808",91,18,19111,6,15,20,23,27,8,10,-6,9,1
"663",83,11,19112,3,10,16,21,33,5,6,-8,-7,3
"149",110,3,19113,3,11,27,34,35,1,2,27,-8,1
"388",58,15,19114,3,5,7,20,23,4,11,-52,12,2
"12",100,17,19115,1,18,21,28,32,5,12,42,2,3
"517",72,14,19116,2,10,16,21,23,2,12,-28,-3,1
"9",100,15,19117,1,18,21,25,35,7,8,28,1,3
"435",63,5,19118,2,3,13,19,26,2,3,-37,-10,1
"552",75,13,19119,3,6,9,23,34,2,11,12,8,1
"702",85,10,19120,6,15,17,22,25,1,9,10,-3,2
"306",30,14,19121,1,2,3,7,17,4,10,-55,4,1
"178",113,21,19122,5,19,25,31,33,10,11,83,7,1
"745",87,17,19123,3,13,15,26,30,5,12,-26,-4,2
"111",107,18,19124,7,17,26,27,30,6,12,20,1,2
"498",70,7,19125,5,8,9,14,34,2,5,-37,-11,1
"588",78,11,19126,5,9,16,18,30,4,7,8,4,1
"326",46,20,19127,4,7,8,11,16,9,11,-32,9,1
"292",135,15,19128,20,21,25,34,35,3,12,89,-5,1
"857",94,18,19129,10,13,18,23,30,6,12,-41,3,2
"636",81,14,19130,1,13,20,21,26,4,10,-13,-4,2
"640",81,16,19131,5,6,14,27,29,6,10,0,2,2
